 ######################################################################
 #Data for Case=          18
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
 # 9.99999975E-05   10001     10000  3.75000000E+00  3.88851095E+00  2.43352343E+00  4.05441345E-02  1.34744846E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  5.02013350E-02  1.58914538E+00
  5.02834339E-02  1.58918973E+00
  5.03655411E-02  1.58923396E+00
  5.04476564E-02  1.58927808E+00
  5.05297800E-02  1.58932210E+00
  5.06119118E-02  1.58936600E+00
  5.06940518E-02  1.58940980E+00
  5.07762000E-02  1.58945348E+00
  5.08583565E-02  1.58949706E+00
  5.09405211E-02  1.58954053E+00
  5.10226940E-02  1.58958389E+00
  5.11048751E-02  1.58962714E+00
  5.11870644E-02  1.58967028E+00
  5.12692619E-02  1.58971331E+00
  5.13514676E-02  1.58975623E+00
  5.14336816E-02  1.58979904E+00
  5.15159038E-02  1.58984174E+00
  5.15981342E-02  1.58988433E+00
  5.16803728E-02  1.58992682E+00
  5.17626196E-02  1.58996919E+00
  5.18448747E-02  1.59001145E+00
  5.19271380E-02  1.59005361E+00
  5.20094096E-02  1.59009565E+00
  5.20916893E-02  1.59013759E+00
  5.21739773E-02  1.59017941E+00
  5.22562735E-02  1.59022113E+00
  5.23385780E-02  1.59026273E+00
  5.24208907E-02  1.59030423E+00
  5.25032116E-02  1.59034561E+00
  5.25855407E-02  1.59038689E+00
  5.26678781E-02  1.59042805E+00
  5.27502237E-02  1.59046911E+00
  5.28325775E-02  1.59051005E+00
  5.29149396E-02  1.59055088E+00
  5.29973099E-02  1.59059161E+00
  5.30796885E-02  1.59063222E+00
  5.31620753E-02  1.59067273E+00
  5.32444703E-02  1.59071312E+00
  5.33268736E-02  1.59075341E+00
  5.34092851E-02  1.59079358E+00
  5.34917048E-02  1.59083364E+00
  5.35741328E-02  1.59087359E+00
  5.36565691E-02  1.59091343E+00
  5.37390136E-02  1.59095316E+00
  5.38214663E-02  1.59099279E+00
  5.39039273E-02  1.59103229E+00
  5.39863965E-02  1.59107169E+00
  5.40688740E-02  1.59111098E+00
  5.41513597E-02  1.59115016E+00
  5.42338536E-02  1.59118923E+00
  5.43163559E-02  1.59122818E+00
  5.43988663E-02  1.59126703E+00
  5.44813850E-02  1.59130577E+00
  5.45639120E-02  1.59134439E+00
  5.46464472E-02  1.59138290E+00
