 ######################################################################
 #Data for Case=          16
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001       328  1.79999995E+00  2.03075785E+00  1.66677017E+00  4.31027266E-02  1.11991760E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  2.92117602E-02  1.13866614E+00
  2.92917601E-02  1.13880546E+00
  2.93717680E-02  1.13894465E+00
  2.94517839E-02  1.13908375E+00
  2.95318078E-02  1.13922272E+00
  2.96118397E-02  1.13936160E+00
  2.96918795E-02  1.13950035E+00
  2.97719274E-02  1.13963901E+00
  2.98519833E-02  1.13977754E+00
  2.99320472E-02  1.13991598E+00
  3.00121192E-02  1.14005429E+00
  3.00921991E-02  1.14019251E+00
  3.01722870E-02  1.14033060E+00
  3.02523829E-02  1.14046859E+00
  3.03324869E-02  1.14060647E+00
  3.04125988E-02  1.14074424E+00
  3.04927188E-02  1.14088189E+00
  3.05728468E-02  1.14101944E+00
  3.06529828E-02  1.14115686E+00
  3.07331268E-02  1.14129419E+00
  3.08132788E-02  1.14143140E+00
  3.08934389E-02  1.14156850E+00
  3.09736069E-02  1.14170548E+00
  3.10537830E-02  1.14184237E+00
  3.11339671E-02  1.14197912E+00
  3.12141592E-02  1.14211578E+00
  3.12943593E-02  1.14225232E+00
  3.13745675E-02  1.14238875E+00
  3.14547837E-02  1.14252506E+00
  3.15350079E-02  1.14266127E+00
  3.16152401E-02  1.14279736E+00
  3.16954803E-02  1.14293334E+00
  3.17757286E-02  1.14306920E+00
  3.18559849E-02  1.14320497E+00
  3.19362492E-02  1.14334060E+00
  3.20165215E-02  1.14347614E+00
  3.20968019E-02  1.14361154E+00
  3.21770903E-02  1.14374685E+00
  3.22573867E-02  1.14388204E+00
  3.23376912E-02  1.14401712E+00
  3.24180037E-02  1.14415208E+00
  3.24983242E-02  1.14428693E+00
  3.25786527E-02  1.14442166E+00
  3.26589893E-02  1.14455629E+00
  3.27393340E-02  1.14469079E+00
  3.28196866E-02  1.14482520E+00
  3.29000473E-02  1.14495947E+00
  3.29804160E-02  1.14509365E+00
  3.30607928E-02  1.14522769E+00
  3.31411776E-02  1.14536164E+00
  3.32215704E-02  1.14549545E+00
  3.33019713E-02  1.14562917E+00
  3.33823802E-02  1.14576276E+00
  3.34627972E-02  1.14589625E+00
  3.35432222E-02  1.14602961E+00
  3.36236553E-02  1.14616287E+00
  3.37040964E-02  1.14629600E+00
  3.37845455E-02  1.14642903E+00
  3.38650027E-02  1.14656193E+00
  3.39454679E-02  1.14669473E+00
  3.40259412E-02  1.14682739E+00
  3.41064225E-02  1.14695996E+00
  3.41869119E-02  1.14709240E+00
  3.42674093E-02  1.14722474E+00
  3.43479148E-02  1.14735695E+00
  3.44284283E-02  1.14748905E+00
  3.45089499E-02  1.14762103E+00
  3.45894795E-02  1.14775290E+00
  3.46700172E-02  1.14788464E+00
  3.47505629E-02  1.14801629E+00
  3.48311167E-02  1.14814780E+00
  3.49116785E-02  1.14827921E+00
  3.49922484E-02  1.14841049E+00
  3.50728264E-02  1.14854166E+00
  3.51534124E-02  1.14867271E+00
  3.52340065E-02  1.14880365E+00
  3.53146086E-02  1.14893446E+00
  3.53952188E-02  1.14906517E+00
  3.54758371E-02  1.14919575E+00
  3.55564634E-02  1.14932623E+00
  3.56370978E-02  1.14945657E+00
  3.57177402E-02  1.14958681E+00
  3.57983907E-02  1.14971692E+00
  3.58790493E-02  1.14984693E+00
  3.59597159E-02  1.14997680E+00
  3.60403907E-02  1.15010657E+00
  3.61210734E-02  1.15023620E+00
  3.62017643E-02  1.15036574E+00
  3.62824632E-02  1.15049514E+00
  3.63631702E-02  1.15062444E+00
  3.64438852E-02  1.15075361E+00
  3.65246084E-02  1.15088267E+00
  3.66053396E-02  1.15101160E+00
  3.66860788E-02  1.15114043E+00
  3.67668262E-02  1.15126912E+00
  3.68475816E-02  1.15139771E+00
  3.69283451E-02  1.15152616E+00
  3.70091167E-02  1.15165451E+00
  3.70898963E-02  1.15178273E+00
  3.71706841E-02  1.15191084E+00
  3.72514799E-02  1.15203882E+00
  3.73322838E-02  1.15216670E+00
  3.74130958E-02  1.15229443E+00
  3.74939158E-02  1.15242207E+00
  3.75747440E-02  1.15254957E+00
  3.76555802E-02  1.15267697E+00
  3.77364245E-02  1.15280423E+00
  3.78172769E-02  1.15293139E+00
  3.78981373E-02  1.15305841E+00
  3.79790059E-02  1.15318533E+00
  3.80598826E-02  1.15331211E+00
  3.81407673E-02  1.15343879E+00
  3.82216601E-02  1.15356533E+00
  3.83025610E-02  1.15369177E+00
  3.83834700E-02  1.15381807E+00
  3.84643871E-02  1.15394427E+00
  3.85453123E-02  1.15407033E+00
  3.86262456E-02  1.15419628E+00
  3.87071870E-02  1.15432210E+00
  3.87881365E-02  1.15444782E+00
  3.88690940E-02  1.15457339E+00
  3.89500597E-02  1.15469886E+00
  3.90310334E-02  1.15482420E+00
  3.91120153E-02  1.15494943E+00
  3.91930053E-02  1.15507452E+00
  3.92740033E-02  1.15519951E+00
  3.93550095E-02  1.15532435E+00
  3.94360237E-02  1.15544910E+00
  3.95170461E-02  1.15557370E+00
  3.95980765E-02  1.15569820E+00
  3.96791151E-02  1.15582256E+00
  3.97601618E-02  1.15594682E+00
  3.98412165E-02  1.15607094E+00
  3.99222794E-02  1.15619495E+00
  4.00033504E-02  1.15631882E+00
  4.00844295E-02  1.15644259E+00
  4.01655167E-02  1.15656622E+00
  4.02466120E-02  1.15668975E+00
  4.03277154E-02  1.15681313E+00
  4.04088270E-02  1.15693641E+00
  4.04899466E-02  1.15705954E+00
  4.05710744E-02  1.15718258E+00
  4.06522102E-02  1.15730547E+00
  4.07333542E-02  1.15742826E+00
  4.08145063E-02  1.15755090E+00
  4.08956665E-02  1.15767345E+00
  4.09768349E-02  1.15779584E+00
  4.10580113E-02  1.15791814E+00
  4.11391959E-02  1.15804029E+00
  4.12203886E-02  1.15816234E+00
  4.13015894E-02  1.15828424E+00
  4.13827983E-02  1.15840605E+00
